Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
17-025054,2017-05,5/24/2017 19:30,Y, , ,1, ,51212,3,BURGLARY-RESIDENCE/NIT/FORCE ENT/UNOCCUPIED       ,3120,NEBRASKA AVE        ,30, , ,3120,NEBRASKA,897162.4,1007449
17-025180,2017-05,5/25/2017 15:19,Y, , ,1, ,250000,4,LOITERING-BEGGING                                 ,1130,WASHINGTON AVE      ,35, , ,1130,WASHINGTON,907005.8,1018860
17-021128,2017-05,05/02/2017 18:00,Y, , ,1, ,65601,1,"LARCENY-MTR VEH PARTS $500 - $24,999              ",5930,WANDA AVE           ,5, , ,5930,WANDA,885359.6,998936.4
17-023308,2017-05,5/16/2017 9:00,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,5902,HORTON PL           ,48, ,APT C,5902,HORTON,880276.2,1030018
17-023526,2017-05,5/17/2017 9:30,Y, , ,1, ,182130,1,DRUGS-POSSESSION/HEROIN                           ,802,SCHIRMER ST         ,1, , ,802,SCHIRMER,887239.5,989533.2
17-022084,2017-05,05/09/2017 23:10,Y, , ,1, ,151110,3,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION          ,3319,CHIPPEWA ST         ,19, , ,3319,CHIPPEWA,894700.4,1003035
17-021175,2017-05,05/05/2017 12:00,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,1912,CLARA AVE           ,50, , ,1912,CLARA,884778.1,1033610
17-023766,2017-05,5/18/2017 14:30,Y, , ,1, ,41013,2,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE      ,4994,MARDEL AVE          ,14, , ,4900,MARDEL,884234.1,1004839
17-023356,2017-05,1/19/2017 7:00,Y, , ,1, ,67701,1,LARCENY-FROM BUILDING UNDER $500                  ,125,KOELN AVE           ,2, , ,125,KOELN,889507.5,988767.5
17-025395,2017-05,5/26/2017 8:00,Y, , ,1, ,10000,6,HOMICIDE                                          ,5025,ROBIN AVE           ,72, ,ALLEY,5033,ROBIN,890087.5,1043363
17-023743,2017-05,5/18/2017 12:45,Y, , ,1, ,91114,5,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",3949,LINDELL BLVD        ,38, ,INSIDE APARTMENT,3949,LINDELL,893684.9,1021926
17-021298,2017-05,05/04/2017 20:00,Y, , ,1, ,65701,4,LARCENY-MTR VEH PARTS UNDER $500                  ,715,N 21ST ST           ,36, , ,715,21ST,903370.6,1020209
17-023109,2017-05,9/15/2016 12:00,Y, , ,1, ,41013,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE      ,4542,WEST PINE BLVD      ,38,THE MANDEL LAW GROUP, ,715,21ST,888729.1,1022327
17-023830,2017-05,5/18/2017 17:30,Y, , ,1, ,43012,3,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE    ,2002,GEYER AVE           ,23, , ,2002,GEYER,901631.7,1011459
17-023033,2017-05,5/15/2017 2:35,Y, , ,1, ,41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,5400,PAGE BLVD           ,48, , ,5204,WELLS,884585.3,1029900
17-023220,2017-05,5/15/2017 19:15,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT                         ,5075,DAVISON AVE         ,72, , ,5076,DAVISON,891685.3,1042004
17-021117,2017-05,05/04/2017 22:00,Y, , ,1, ,64701,1,LARCENY-FROM MTR VEH UNDER $500                   ,4324,ELLENWOOD AVE       ,5, , ,4324,ELLENWOOD,886896.9,1002219
17-025062,2017-05,5/24/2017 22:53,Y, , ,1, ,31111,2,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL         ,4414,ARCO AVE            ,39, ,APT B,4414,ARCO,888984.4,1017603
17-025177,2017-05,3/19/2017 17:00,Y, , ,1, ,103000,4,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT    ,411,N 22ND ST           ,36, , ,411,22ND,902832.3,1019699
17-025407,2017-05,5/26/2017 17:12,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT                         ,6106,GOVERNMENT DR       ,82, , ,6101,GOVERNMENT,881813.9,1021753
17-025310,2017-05,5/25/2017 11:00,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT                         ,3539,WYOMING ST          ,25, , ,3539,WYOMING,893928.9,1007164
17-023734,2017-05,5/18/2017 11:25,Y, , ,1, ,41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,2206,LUCAS AVE           ,36, , ,2206,LUCAS,902915.2,1020334
17-021851,2017-05,05/01/2017 10:00,Y, , ,1, ,67601,5,"LARCENY-FROM BUILDING $500 - $24,999              ",6059,KINGSBURY AVE       ,46, , ,6059,KINGSBURY,878440.3,1026541
17-023166,2017-05,5/14/2017 20:30,Y, , ,1, ,64701,5,LARCENY-FROM MTR VEH UNDER $500                   ,4167,WESTMINSTER PL      ,38, , ,4167,WESTMINSTER,892629.5,1023275
17-023478,2017-05,5/17/2017 3:00,Y, , ,1, ,64711,2,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT         ,1229,LOUISVILLE AVE      ,44, ,OUTISDE VICTIM S RESIDENCE,1200,LOUISVILLE,877950.9,1017637
17-025524,2017-05,5/27/2017 0:50,Y, , ,1, ,64711,6,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT         ,3915,SHREVE AVE          ,69, , ,3915,SHREVE,893093.8,1034823
17-025445,2017-05,5/26/2017 20:15,Y, , ,1, ,66701,1,LARCENY-BICYCLES UNDER $500                       ,6519,MINNESOTA AVE       ,1, , ,6519,MINNESOTA,891282.6,991569.8
17-022856,2017-05,5/14/2017 2:10,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT                         ,5129,PAGE BLVD           ,51, , ,5129,PAGE,886610.4,1029540
17-023347,2017-05,5/14/2017 19:23,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION      ,4008,GILES AVE           ,16, ,ALSO 4004 GILES,4008,GILES,892317.3,1002049
17-023117,2017-05,05/12/2017 11:00,Y, , ,1, ,69602,3,"LARCENY-ALL OTHER $500 - $24,999                  ",1518,LASALLE LN          ,33, , ,1518,LASALLE,904006.9,1014252
17-025468,2017-05,5/26/2017 20:00,Y, , ,1, ,51212,1,BURGLARY-RESIDENCE/NIT/FORCE ENT/UNOCCUPIED       ,4745,LOUISIANA AVE       ,16, , ,4745,LOUISIANA,892122.6,997381.9
17-021359,2017-05,05/06/2017 7:20,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT                         ,5863,CABANNE AVE         ,48, , ,5832,CABANNE,880665.8,1029041
17-023548,2017-05,5/16/2017 20:00,Y, , ,1, ,71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,2928,S COMPTON AVE       ,25, , ,2927,COMPTON,895975.6,1008433
17-023661,2017-05,04/01/2017 0:01,Y, , ,1, ,21000,3,RAPE -- FORCIBLE                                  ,1200,S 11TH ST           ,34, , ,1200,11TH,0,0
17-023343,2017-05,5/16/2017 12:17,Y, , ,1, ,64701,6,LARCENY-FROM MTR VEH UNDER $500                   ,5973,GOODFELLOW BLVD     ,73, , ,5973,GOODFELLOW,890494.4,1049361
17-021347,2017-05,05/06/2017 3:06,Y, , ,1, ,41021,4,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE      ,2205,ANGELICA ST         ,65, , ,2205,ANGELICA,903313.7,1030698
17-025111,2017-05,5/25/2017 8:45,Y, , ,1, ,67701,3,LARCENY-FROM BUILDING UNDER $500                  ,1425,PEABODY CT          ,33,PEABODIES, ,1425,PEABODY,904206.2,1013767
17-025045,2017-05,5/24/2017 19:58,Y, , ,1, ,43022,4,AGG.ASSAULT-OTH DANG WEP/CTZEN CHLD 2ND DEGREE    ,1417,N 9TH ST            ,62,COCHRAN, ,1417,9TH,908777.9,1021690
17-023276,2017-05,5/15/2017 19:30,Y, , ,1, ,65701,2,LARCENY-MTR VEH PARTS UNDER $500                  ,4471,ARCO AVE            ,39, , ,4471,ARCO,888499.7,1017934
17-023570,2017-05,5/17/2017 13:43,Y, , ,1, ,63701,1,LARCENY-SHOPLIFT UNDER $500                       ,4101,GRAVOIS AVE         ,16, ,@QT - GRAVOIS / CHIPPEWA,4135,CHIPPEWA,889849,1003566
17-025417,2017-05,5/26/2017 10:00,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT                         ,0,TAMM AVE / WELLS DR ,82, , ,7915,MICHIGAN,879202.7,1019466
17-023756,2017-05,5/17/2017 4:40,Y, , ,1, ,67701,3,LARCENY-FROM BUILDING UNDER $500                  ,3182,S GRAND BLVD        ,25, , ,3182,GRAND,893829,1007322
17-022638,2017-05,05/12/2017 20:00,Y, , ,1, ,250000,4,LOITERING-BEGGING                                 ,1400,CLARK AVE           ,36, ,ON STREET,,,905366,1016898
17-025906,2017-05,5/29/2017 20:00,Y, , ,1, ,64601,2,"LARCENY-FROM MTR VEH $500 - $24,999               ",0,LINDELL BLVD / UNION BLVD,82, , ,,,884573.7,1023832
17-021862,2017-05,05/08/2017 21:40,Y, , ,1, ,250000,4,LOITERING-BEGGING                                 ,315,CHESTNUT ST         ,35,HYATT REGENCY AT THE ARCH, ,,,909422.4,1016993
17-025853,2017-05,5/29/2017 15:00,Y, , ,1, ,41011,1,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,4179,EICHELBERGER ST     ,5, , ,,,887068.6,999343.3
17-024506,2017-05,5/22/2017 9:00,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT                         ,0,I 44 EASTBOUND / S JEFFERSON A,33, , ,,,899889.1,1012426
17-025935,2017-05,5/30/2017 1:01,Y, , ,1, ,41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,0,E GRAND AVE / I 70 EASTBOUND,66,NA,HIGHWAY,,,904580.1,1034005
17-023775,2017-05,5/18/2017 15:20,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT                         ,0,CHIPPEWA ST / HAMPTON AVE,7, , ,,,879018.3,1005017
17-022247,2017-05,05/10/2017 18:20,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT                         ,0,BLAIR AVE / E GRAND BLVD,66, , ,,,903970.5,1033492
17-025425,2017-05,5/26/2017 18:30,Y, , ,1, ,263299,4,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL     ,1210,LOCUST ST           ,36,CHRIST CHURCH CATHEDRAL, ,,,906389.8,1018559
17-021492,2017-05,05/06/2017 22:15,Y, , ,1, ,91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",504,BATES ST            ,1, , ,,,892637.8,994365.9
17-022049,2017-05,05/09/2017 18:47,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT                         ,0,CHIPPEWA ST / MORGANFORD RD,5, , ,,,887682.8,1003941
17-024232,2017-05,5/20/2017 23:42,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT                         ,0,N GRAND BLVD / WASHINGTON AVE,77, , ,,,896858.3,1021621
17-020882,2017-05,05/03/2017 15:50,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT                         ,2901,UNION BLVD          ,50, , ,,,888183.1,1034600
17-025413,2017-05,5/26/2017 16:50,Y, , ,1, ,182130,6,DRUGS-POSSESSION/HEROIN                           ,4300,N EUCLID AVE        ,69, , ,,,893346.1,1037333
17-023978,2017-05,5/19/2017 14:07,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT                         ,0,CASS AVE / N SPRING AVE,59, , ,,,897927.8,1025264
17-022091,2017-05,05/09/2017 23:28,Y, , ,1, ,43013,3,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE    ,2700,ARSENAL ST          ,30, ,2700 BLOCK OF ARSENAL,,,898308.6,1007206
17-026095,2017-05,5/30/2017 16:38,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT                         ,0,EMERSON AVE / LILLIAN AVE,71, , ,,,891623.4,1041057
17-025745,2017-05,5/28/2017 21:49,Y, , ,1, ,36111,3,ROBBERY-COMMERCE PL/FIREARM USED/SUCCESS          ,3701,S JEFFERSON AVE     ,19,SPARE NO RIB!, ,,,898235.8,1002995
17-021105,2017-05,05/04/2017 21:30,Y, , ,1, ,266510,1,PUBLIC ORDER-TRESPASSING                          ,5550,S GRAND BLVD        ,1, ,@WALGREENS - 5550 S GRAND,5550,GRAND,890701.1,995885.1
17-025710,2017-05,5/28/2017 15:00,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT                         ,4914,MCPHERSON AVE       ,38, , ,212,KINGSHIGHWAY,888276.1,1025013
17-023235,2017-05,5/13/2017 23:50,Y, , ,1, ,64701,3,LARCENY-FROM MTR VEH UNDER $500                   ,3401,OHIO AVE            ,19, , ,919,JEFFERSON,898127.3,1005195
17-021218,2017-05,05/03/2017 16:25,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,1306,N 10TH ST           ,62, , ,1306,10TH,908532.9,1021407
17-025229,2017-05,5/25/2017 18:00,Y, , ,1, ,71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,4841,LEDUC ST            ,55, ,STREET,4841,LEDUC,890105.1,1030914
17-023410,2017-05,5/16/2017 12:00,Y, , ,1, ,69702,2,LARCENY-ALL OTHER UNDER $500                      ,3504,S SPRING AVE        ,15, , ,3504,SPRING,892475.8,1005194
17-021194,2017-05,04/06/2017 12:30,Y, , ,1, ,69602,4,"LARCENY-ALL OTHER $500 - $24,999                  ",430,S 15TH ST           ,36,GREYHOUND, ,430,15TH,904845.8,1016613
17-023552,2017-05,5/16/2017 15:00,Y, , ,1, ,65701,2,LARCENY-MTR VEH PARTS UNDER $500                  ,1465,S GRAND BLVD        ,29,CARDINAL GLENNON HOSPITAL, ,1465,GRAND,894852.6,1015265
17-023249,2017-05,5/16/2017 1:30,Y, , ,1, ,266510,4,PUBLIC ORDER-TRESPASSING                          ,420,N 6TH ST            ,35,PARKING GARAGE,PARKING GARAGE,420,6TH,908992.6,1018056
17-023095,2017-05,5/15/2017 11:00,Y, , ,1, ,63701,3,LARCENY-SHOPLIFT UNDER $500                       ,3430,S GRAND BLVD        ,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
17-020965,2017-05,05/04/2017 7:45,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT                         ,4707,GOODFELLOW BLVD     ,70, ,APT 1F,5883,SELBER,886868.4,1043033
17-023238,2017-05,5/15/2017 17:00,Y, , ,1, ,67601,2,"LARCENY-FROM BUILDING $500 - $24,999              ",1920,HEREFORD ST         ,12, , ,1920,HEREFORD,885827.3,1013629
17-023045,2017-05,4/29/2017 7:30,Y, , ,1, ,112010,2,FRAUD-CREDIT DEVICE/OVER $150                     ,6955,MARDEL AVE          ,9, , ,6955,MARDEL,874226.6,1006100
17-023364,2017-05,5/15/2017 18:30,Y, , ,1, ,64711,2,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT         ,4054,BLAINE AVE          ,28, , ,4054,BLAINE,891807.9,1014576
17-023424,2017-05,5/16/2017 18:15,Y, , ,1, ,151400,5,WEAPONS-STATE VIOL/DEFACED FIREARM                ,5949,OAKHURST,48,AMHERST PARK, ,5949,,0,0
17-022544,2017-05,05/12/2017 9:30,Y, , ,1, ,182400,2,DRUGS-POSSESSION/MARIJUANA                        ,7079,SUTHERLAND AVE      ,9, , ,7079,SUTHERLAND,872976.4,1004852
17-021893,2017-05,05/08/2017 23:49,Y, , ,1, ,10000,1,HOMICIDE                                          ,4355,S BROADWAY          ,17,CONOCO - PHILLIPS 66, ,4347,CALIFORNIA,896676.4,998998.5
17-023617,2017-05,5/17/2017 16:50,Y, , ,1, ,41021,6,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE      ,5933,LALITE AVE          ,72, , ,5933,LALITE,889813.2,1044299
17-021451,2017-05,05/05/2017 22:00,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,4319,EICHELBERGER ST     ,5, , ,4319,EICHELBERGER,886329.4,999796.9
17-023670,2017-05,5/17/2017 11:20,Y, , ,1, ,43011,4,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 1ST DEGREE    ,600,CASS AVE            ,62, , ,1442,10TH,909684.5,1021889
17-023219,2017-05,5/15/2017 20:44,Y, , ,1, ,51212,2,BURGLARY-RESIDENCE/NIT/FORCE ENT/UNOCCUPIED       ,3915,HEREFORD ST         ,14, , ,3915,HEREFORD,884039.7,1004418
17-021470,2017-05,05/05/2017 14:45,Y, , ,1, ,71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,1228,LUCAS AVE           ,36, , ,1228,LUCAS,906707.7,1019295
17-023177,2017-05,5/15/2017 14:47,Y, , ,1, ,63701,4,LARCENY-SHOPLIFT UNDER $500                       ,1403,N GRAND BLVD        ,59,CITY GEAR, ,1403,GRAND,898212.6,1024646
17-022898,2017-05,5/13/2017 15:00,Y, , ,1, ,69702,2,LARCENY-ALL OTHER UNDER $500                      ,5069,MIAMI ST            ,14, , ,5069,MIAMI,883587.4,1006009
17-023126,2017-05,5/15/2017 12:00,Y, , ,1, ,266400,6,PUBLIC ORDER-ANIMAL VIOLATION                     ,4825,GREER AVE           ,55, , ,4829,GREER,891601.9,1033266
17-023086,2017-05,5/15/2017 10:10,Y, , ,1, ,63701,5,LARCENY-SHOPLIFT UNDER $500                       ,4140,DR MARTIN LUTHER KING DR,58,BOOST MOBILE, ,4140,DR MARTIN LUTHER KING,894318.8,1027270
17-023391,2017-05,5/16/2017 15:40,Y, , ,1, ,91113,3,SIMPLE ASSAULT-ADULT/NO INJURY                    ,3420,VIRGINIA AVE        ,30, , ,3420,VIRGINIA,895141.9,1005298
17-025542,2017-05,5/26/2017 23:00,Y, , ,1, ,71030,3,AUTO THEFT-PERM RETNT/JOY RIDE                    ,2230,KEOKUK ST           ,18, , ,2230,KEOKUK,898443.7,1001580
17-021279,2017-05,03/01/2017 6:00,Y, , ,1, ,51322,3,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED       ,3840,PENNSYLVANIA AVE    ,16, , ,3840,PENNSYLVANIA,896002.4,1002298
17-025501,2017-05,5/27/2017 1:20,Y, , ,1, ,51222,6,BURGLARY-RESIDENCE/NIT/UNLAW ENT/UNOCCUPIED       ,4830,SACRAMENTO AVE      ,69, , ,4830,SACRAMENTO,892616.1,1034635
17-024942,2017-05,07/01/2014 0:01,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT              ,4637,LOUISIANA AVE       ,16, , ,4637,LOUISIANA,892721.2,998294.6
17-025256,2017-05,5/25/2017 20:55,Y, , ,1, ,41016,5,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC           ,4209,W COOK AVE          ,58, , ,4209,COOK,893704.3,1026217
17-023491,2017-05,5/16/2017 22:00,Y, , ,1, ,65701,1,LARCENY-MTR VEH PARTS UNDER $500                  ,4002,DELOR ST            ,5, , ,4002,DELOR,888714.1,999296.6
17-023327,2017-05,03/11/2017 12:06,Y, , ,1, ,69702,2,LARCENY-ALL OTHER UNDER $500                      ,7046,OLEATHA AVE         ,9, , ,7046,OLEATHA,873614.6,1007194
17-023251,2017-05,5/16/2017 0:45,Y, , ,1, ,32211,6,ROBBERY-RESIDENCE  /KNIFE USED/SUCCESSFUL         ,5531,GENEVIEVE AVE       ,72, , ,5531,GENEVIEVE,893066.6,1043756
17-023116,2017-05,5/15/2017 11:46,Y, , ,1, ,151130,3,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING            ,3600,CHIPPEWA ST         ,16, , ,3600,DUNNICA,893298.8,1003257
17-022778,2017-05,05/12/2017 18:30,Y, , ,1, ,67601,3,"LARCENY-FROM BUILDING $500 - $24,999              ",2823,RUSSELL BLVD        ,24, , ,2823,RUSSELL,898240.6,1011799
17-025774,2017-05,5/29/2017 1:25,Y, , ,1, ,41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,6140,SHERRY AVE          ,76, , ,,,888382.7,1044588
17-022076,2017-05,05/09/2017 21:36,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT                         ,4164,S GRAND BLVD        ,16, , ,,,893428.3,1000548
17-021790,2017-05,4/29/2017 23:30,Y, , ,1, ,64601,4,"LARCENY-FROM MTR VEH $500 - $24,999               ",0,N GRAND BLVD / NATURAL BRIDGE,59, , ,,,901069.3,1029712
17-025769,2017-05,5/29/2017 1:25,Y, , ,1, ,211000,3,DUI-DRVING WHILE INTOXICATED                      ,1807,GRAVOIS AVE         ,23, ,@JACK IN THE BOX - GRAVOIS,,,902130.3,1010504
17-025714,2017-05,5/28/2017 16:40,Y, , ,1, ,91113,1,SIMPLE ASSAULT-ADULT/NO INJURY                    ,4347,S BROADWAY          ,17,PHILLIPS 66, ,,,896495.6,998909.4
17-023553,2017-05,5/17/2017 12:38,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT                         ,0,DR MARTIN LUTHER KING DR / N S,58, ,ALIAS MLK/N SARAH ST CITY,,,895465.4,1026650
17-022060,2017-05,05/09/2017 20:27,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT                         ,0,S 4TH ST / S BROADWAY,34, , ,,,907576.3,1012967
17-021821,2017-05,05/08/2017 8:00,Y, , ,1, ,64601,4,"LARCENY-FROM MTR VEH $500 - $24,999               ",500,PINE ST             ,35,KIENER EAST,PARKING GARAGE,,,908732.9,1017197
17-026149,2017-05,5/30/2017 20:45,Y, , ,1, ,41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,0,HAMILTON AVE / JULIAN AVE,48, ,INTERSECTION OF HAMILTON AND JULIAN,,,881051.1,1031770
17-025345,2017-05,3/15/2017 12:00,Y, , ,1, ,65701,4,LARCENY-MTR VEH PARTS UNDER $500                  ,0,N 13TH ST / CONVENTION PZ,36, , ,,,906781.9,1019635
17-025900,2017-05,5/29/2017 20:00,Y, , ,1, ,64601,2,"LARCENY-FROM MTR VEH $500 - $24,999               ",5700,LINDELL BLVD        ,82, , ,,,881336.1,1024178
17-025703,2017-05,5/28/2017 15:15,Y, , ,1, ,91113,3,SIMPLE ASSAULT-ADULT/NO INJURY                    ,3000,KEOKUK ST           ,16, , ,,,895810,1001995
17-025839,2017-05,5/29/2017 13:35,Y, , ,1, ,41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,0,RIVERVIEW BLVD / THEKLA AVE,72, , ,,,890718.5,1045022
17-026259,2017-05,5/31/2017 13:22,Y, , ,1, ,263299,4,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL     ,700,MARKET ST           ,35, , ,,,907919.3,1016804
17-023920,2017-05,5/19/2017 7:40,Y, , ,1, ,31111,5,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL         ,0,DR MARTIN LUTHER KING DR / HOD,78, ,DR MARTIN L KING @ HODIAMONT,,,881539.9,1034740
17-024069,2017-05,5/20/2017 0:01,Y, , ,1, ,42012,5,AGG.ASSAULT-KNIFE/CITIZEN ADULT 2ND DEGREE        ,5084,DR MARTIN LUTHER KING DR,51,THE OTHER PLACE LOUNGE, ,,,887444.4,1030650
17-021454,2017-05,05/06/2017 17:00,Y, , ,1, ,41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,6000,DELMAR BLVD         ,46, , ,,,879001.1,1027255
17-021234,2017-05,05/05/2017 15:30,Y, , ,1, ,31111,5,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL         ,5728,SAINT LOUIS AVE     ,50, , ,,,885124.2,1036257
17-023439,2017-05,5/16/2017 20:31,Y, , ,1, ,31111,2,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL         ,0,PARK AVE / S SPRING AVE,29, , ,,,894054,1015122
17-023256,2017-05,5/16/2017 1:26,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT                         ,8463,NEWBY ST            ,74, , ,8629,NEWBY,895820.4,1049269
17-025313,2017-05,5/26/2017 8:56,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT                         ,4573,CHIPPEWA ST         ,15, , ,4573,CHIPPEWA,886168.7,1004120
17-022105,2017-05,05/10/2017 1:55,Y, , ,1, ,91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",900,HOLLY HILLS AVE     ,80, ,AT COLORADO,,,890098.2,993003.1
17-024162,2017-05,5/20/2017 15:00,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT                         ,0,HALLS FERRY CIR / RIVERVIEW BL,74, ,ROUTE 367/RIVERVIEW,,,894483.7,1052056
17-021113,2017-05,05/04/2017 22:58,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT                         ,0,I 55 SOUTHBOUND / LOUGHBOROUGH,1, , ,,,889032,991661.3
17-023891,2017-05,5/19/2017 5:15,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT                         ,0,I 70 EASTBOUND / N KINGSHIGHWA,84, ,ALIAS I 70 EB/KINGSHWY,,,892747.9,1038788
17-021636,2017-05,05/07/2017 20:12,Y, , ,1, ,266510,4,PUBLIC ORDER-TRESPASSING                          ,703,N 13TH ST           ,36, , ,,,906622.5,1019383
17-022407,2017-05,05/11/2017 15:38,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT                         ,5750,NATURAL BRIDGE AVE  ,50, , ,,,885556.4,1038533
17-022551,2017-05,05/10/2017 11:00,Y, , ,1, ,71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,0,HALL ST / RIVERVIEW DR,79, , ,,,899311.1,1054075
17-022266,2017-05,05/10/2017 21:00,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT                         ,0,I 70 WESTBOUND / SHREVE AVE,69, ,ALIAS WB 70/SHREVE AVE CITY,,,894744.3,1037701
17-024264,2017-05,5/21/2017 0:55,Y, , ,1, ,71030,5,AUTO THEFT-PERM RETNT/JOY RIDE                    ,3918,PAGE BLVD           ,58,DR. JAYS, ,,,895958.6,1025207
17-021629,2017-05,05/07/2017 18:39,Y, , ,1, ,182999,4,DRUGS-POSSESSION/OTHR UNSPEC DRUG                 ,2601,DELMAR BLVD         ,59, , ,,,902122.6,1020974
17-024084,2017-05,5/20/2017 0:01,Y, , ,1, ,64701,4,LARCENY-FROM MTR VEH UNDER $500                   ,0,N 15TH ST / PINE ST ,36, , ,,,905381.8,1018367
17-021676,2017-05,05/08/2017 0:38,Y, , ,1, ,151110,4,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION          ,3600,N GRAND BLVD        ,59, , ,,,901020.1,1029352
17-022199,2017-05,05/10/2017 14:14,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT                         ,0,N FLORISSANT AVE / SAINT LOUIS,60, ,ALIAS ST LOUIS/N FLORISSANT,,,905889.4,1025974
17-023930,2017-05,5/19/2017 9:30,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT                         ,1200,RUSSELL BLVD        ,21, , ,,,903274.8,1010332
